occupation	courses_list
Data Science Intern at Aspen Technology | Data Science | Data Engineering | Software Engineering | Software Testing	"['Business Intelligence', 'Database Applications Development', 'Database Management Systems and GUI Development', 'Database Technologies', 'Information Technology Policy and Strategy', 'Object Oriented Programming-I/II', 'Organization Behaviour and Interpersonal Communications', 'Simulation Modelling', 'Software Engineering', 'Statistical Methods for Data Science']"
Data Science Intern at Aspen Technology | Data Science | Data Engineering | Software Engineering | Software Testing	"['Business Intelligence', 'Database Applications Development', 'Database Management Systems and GUI Development', 'Database Technologies', 'Information Technology Policy and Strategy', 'Object Oriented Programming-I/II', 'Organization Behaviour and Interpersonal Communications', 'Simulation Modelling', 'Software Engineering', 'Statistical Methods for Data Science']"
Data Science Graduate Student	"['- Big Data Management', '- Introduction to Data Science', '- Statistical modals for Data Science', '- Statistics for Scientists and Engineers', 'Core Java', 'Database design and Management', 'Design and Analysis of Algorithms', 'Digital : Amazon Web Service(AWS) Cloud Computing', 'Digital : Apple Cocoa and Objective C', 'Digital : Internet of Things']"
Data Science Intern at Aspen Technology | Data Science | Data Engineering | Software Engineering | Software Testing	"['Business Intelligence', 'Database Applications Development', 'Database Management Systems and GUI Development', 'Database Technologies', 'Information Technology Policy and Strategy', 'Object Oriented Programming-I/II', 'Organization Behaviour and Interpersonal Communications', 'Simulation Modelling', 'Software Engineering', 'Statistical Methods for Data Science']"
Data Science Graduate Student	"['- Big Data Management', '- Introduction to Data Science', '- Statistical modals for Data Science', '- Statistics for Scientists and Engineers', 'Core Java', 'Database design and Management', 'Design and Analysis of Algorithms', 'Digital : Amazon Web Service(AWS) Cloud Computing', 'Digital : Apple Cocoa and Objective C', 'Digital : Internet of Things']"
Data Science Engineer in Flowcast	"['Algorithms', 'Algorithms and Data Structure', 'Artificial Intelligence', 'Computational Linear Algebra', 'Computer Network', 'Computer System', 'Computer System Architecture', 'Database System', 'Financial Math', 'Logical Programming']"
Data Science Intern at Aspen Technology | Data Science | Data Engineering | Software Engineering | Software Testing	"['Business Intelligence', 'Database Applications Development', 'Database Management Systems and GUI Development', 'Database Technologies', 'Information Technology Policy and Strategy', 'Object Oriented Programming-I/II', 'Organization Behaviour and Interpersonal Communications', 'Simulation Modelling', 'Software Engineering', 'Statistical Methods for Data Science']"
Data Science Graduate Student	"['- Big Data Management', '- Introduction to Data Science', '- Statistical modals for Data Science', '- Statistics for Scientists and Engineers', 'Core Java', 'Database design and Management', 'Design and Analysis of Algorithms', 'Digital : Amazon Web Service(AWS) Cloud Computing', 'Digital : Apple Cocoa and Objective C', 'Digital : Internet of Things']"
Data Science Engineer in Flowcast	"['Algorithms', 'Algorithms and Data Structure', 'Artificial Intelligence', 'Computational Linear Algebra', 'Computer Network', 'Computer System', 'Computer System Architecture', 'Database System', 'Financial Math', 'Logical Programming']"
M.S. Data Science student at NYU	"['Applied Probability', 'Applied Statistics', 'Data Mining', 'Fundamental Algorithms', 'Mathematics of Finance', 'Numerical Methods with Financial Applications', 'Processing Big Data with Hadoop in Azure HDInsight', 'Statistical Computing', 'Stochastic Process']"
Data Science Intern at Aspen Technology | Data Science | Data Engineering | Software Engineering | Software Testing	"['Business Intelligence', 'Database Applications Development', 'Database Management Systems and GUI Development', 'Database Technologies', 'Information Technology Policy and Strategy', 'Object Oriented Programming-I/II', 'Organization Behaviour and Interpersonal Communications', 'Simulation Modelling', 'Software Engineering', 'Statistical Methods for Data Science']"
Data Science Graduate Student	"['- Big Data Management', '- Introduction to Data Science', '- Statistical modals for Data Science', '- Statistics for Scientists and Engineers', 'Core Java', 'Database design and Management', 'Design and Analysis of Algorithms', 'Digital : Amazon Web Service(AWS) Cloud Computing', 'Digital : Apple Cocoa and Objective C', 'Digital : Internet of Things']"
Data Science Engineer in Flowcast	"['Algorithms', 'Algorithms and Data Structure', 'Artificial Intelligence', 'Computational Linear Algebra', 'Computer Network', 'Computer System', 'Computer System Architecture', 'Database System', 'Financial Math', 'Logical Programming']"
M.S. Data Science student at NYU	"['Applied Probability', 'Applied Statistics', 'Data Mining', 'Fundamental Algorithms', 'Mathematics of Finance', 'Numerical Methods with Financial Applications', 'Processing Big Data with Hadoop in Azure HDInsight', 'Statistical Computing', 'Stochastic Process']"
Director of data science at Intuit	"['Artificial Intelligence', 'Automatically Reasonaing Theory and Application', 'Connectionist Language Processing', 'Data and Knowledge Base System', 'Database', 'Distributed Database System', 'Intelligent Information System', 'Web Applications', 'Web Information System']"
Data Science Intern at Aspen Technology | Data Science | Data Engineering | Software Engineering | Software Testing	"['Business Intelligence', 'Database Applications Development', 'Database Management Systems and GUI Development', 'Database Technologies', 'Information Technology Policy and Strategy', 'Object Oriented Programming-I/II', 'Organization Behaviour and Interpersonal Communications', 'Simulation Modelling', 'Software Engineering', 'Statistical Methods for Data Science']"
Data Science Graduate Student	"['- Big Data Management', '- Introduction to Data Science', '- Statistical modals for Data Science', '- Statistics for Scientists and Engineers', 'Core Java', 'Database design and Management', 'Design and Analysis of Algorithms', 'Digital : Amazon Web Service(AWS) Cloud Computing', 'Digital : Apple Cocoa and Objective C', 'Digital : Internet of Things']"
Data Science Engineer in Flowcast	"['Algorithms', 'Algorithms and Data Structure', 'Artificial Intelligence', 'Computational Linear Algebra', 'Computer Network', 'Computer System', 'Computer System Architecture', 'Database System', 'Financial Math', 'Logical Programming']"
M.S. Data Science student at NYU	"['Applied Probability', 'Applied Statistics', 'Data Mining', 'Fundamental Algorithms', 'Mathematics of Finance', 'Numerical Methods with Financial Applications', 'Processing Big Data with Hadoop in Azure HDInsight', 'Statistical Computing', 'Stochastic Process']"
Director of data science at Intuit	"['Artificial Intelligence', 'Automatically Reasonaing Theory and Application', 'Connectionist Language Processing', 'Data and Knowledge Base System', 'Database', 'Distributed Database System', 'Intelligent Information System', 'Web Applications', 'Web Information System']"
Data Science + 1	"['Big Data for Health Informatics', 'Database Systems']"
Data Science Intern at Aspen Technology | Data Science | Data Engineering | Software Engineering | Software Testing	"['Business Intelligence', 'Database Applications Development', 'Database Management Systems and GUI Development', 'Database Technologies', 'Information Technology Policy and Strategy', 'Object Oriented Programming-I/II', 'Organization Behaviour and Interpersonal Communications', 'Simulation Modelling', 'Software Engineering', 'Statistical Methods for Data Science']"
Data Science Graduate Student	"['- Big Data Management', '- Introduction to Data Science', '- Statistical modals for Data Science', '- Statistics for Scientists and Engineers', 'Core Java', 'Database design and Management', 'Design and Analysis of Algorithms', 'Digital : Amazon Web Service(AWS) Cloud Computing', 'Digital : Apple Cocoa and Objective C', 'Digital : Internet of Things']"
Data Science Engineer in Flowcast	"['Algorithms', 'Algorithms and Data Structure', 'Artificial Intelligence', 'Computational Linear Algebra', 'Computer Network', 'Computer System', 'Computer System Architecture', 'Database System', 'Financial Math', 'Logical Programming']"
M.S. Data Science student at NYU	"['Applied Probability', 'Applied Statistics', 'Data Mining', 'Fundamental Algorithms', 'Mathematics of Finance', 'Numerical Methods with Financial Applications', 'Processing Big Data with Hadoop in Azure HDInsight', 'Statistical Computing', 'Stochastic Process']"
Director of data science at Intuit	"['Artificial Intelligence', 'Automatically Reasonaing Theory and Application', 'Connectionist Language Processing', 'Data and Knowledge Base System', 'Database', 'Distributed Database System', 'Intelligent Information System', 'Web Applications', 'Web Information System']"
Data Science + 1	"['Big Data for Health Informatics', 'Database Systems']"
Looking for full time position in the field of Data Science and Data Analytics to drive strategic decision making.	"['Advanced Data Structures and Algorithms', 'Advanced Statistical Methods', 'Advanced Topics: Data Science Project', 'Advanced Topics: Project Management', 'Applied Multivariate Analysis', 'Big Data Strategy', 'Business Intelligence', 'C & Data structures', 'Computer Aided Design / Computer Aided Manufacturing (CAD/CAM)', 'Computer Organization and Architecture']"
Data Science Intern at Aspen Technology | Data Science | Data Engineering | Software Engineering | Software Testing	"['Business Intelligence', 'Database Applications Development', 'Database Management Systems and GUI Development', 'Database Technologies', 'Information Technology Policy and Strategy', 'Object Oriented Programming-I/II', 'Organization Behaviour and Interpersonal Communications', 'Simulation Modelling', 'Software Engineering', 'Statistical Methods for Data Science']"
Data Science Graduate Student	"['- Big Data Management', '- Introduction to Data Science', '- Statistical modals for Data Science', '- Statistics for Scientists and Engineers', 'Core Java', 'Database design and Management', 'Design and Analysis of Algorithms', 'Digital : Amazon Web Service(AWS) Cloud Computing', 'Digital : Apple Cocoa and Objective C', 'Digital : Internet of Things']"
Data Science Engineer in Flowcast	"['Algorithms', 'Algorithms and Data Structure', 'Artificial Intelligence', 'Computational Linear Algebra', 'Computer Network', 'Computer System', 'Computer System Architecture', 'Database System', 'Financial Math', 'Logical Programming']"
M.S. Data Science student at NYU	"['Applied Probability', 'Applied Statistics', 'Data Mining', 'Fundamental Algorithms', 'Mathematics of Finance', 'Numerical Methods with Financial Applications', 'Processing Big Data with Hadoop in Azure HDInsight', 'Statistical Computing', 'Stochastic Process']"
Director of data science at Intuit	"['Artificial Intelligence', 'Automatically Reasonaing Theory and Application', 'Connectionist Language Processing', 'Data and Knowledge Base System', 'Database', 'Distributed Database System', 'Intelligent Information System', 'Web Applications', 'Web Information System']"
Data Science + 1	"['Big Data for Health Informatics', 'Database Systems']"
Looking for full time position in the field of Data Science and Data Analytics to drive strategic decision making.	"['Advanced Data Structures and Algorithms', 'Advanced Statistical Methods', 'Advanced Topics: Data Science Project', 'Advanced Topics: Project Management', 'Applied Multivariate Analysis', 'Big Data Strategy', 'Business Intelligence', 'C & Data structures', 'Computer Aided Design / Computer Aided Manufacturing (CAD/CAM)', 'Computer Organization and Architecture']"
Data Science & Engineering | Graduate Student at Carnegie Mellon University	"['Cloud Computing', 'Data Mining', 'Data Structures for Application Programmers', 'Decision Making Under Uncertainity', 'Distributed Systems', 'Engineering Data Intensive Salable Systems', 'Exploring and Visualizing Data', 'Java', 'R for Analytics']"
Data Science Intern at Aspen Technology | Data Science | Data Engineering | Software Engineering | Software Testing	"['Business Intelligence', 'Database Applications Development', 'Database Management Systems and GUI Development', 'Database Technologies', 'Information Technology Policy and Strategy', 'Object Oriented Programming-I/II', 'Organization Behaviour and Interpersonal Communications', 'Simulation Modelling', 'Software Engineering', 'Statistical Methods for Data Science']"
Data Science Graduate Student	"['- Big Data Management', '- Introduction to Data Science', '- Statistical modals for Data Science', '- Statistics for Scientists and Engineers', 'Core Java', 'Database design and Management', 'Design and Analysis of Algorithms', 'Digital : Amazon Web Service(AWS) Cloud Computing', 'Digital : Apple Cocoa and Objective C', 'Digital : Internet of Things']"
Data Science Engineer in Flowcast	"['Algorithms', 'Algorithms and Data Structure', 'Artificial Intelligence', 'Computational Linear Algebra', 'Computer Network', 'Computer System', 'Computer System Architecture', 'Database System', 'Financial Math', 'Logical Programming']"
M.S. Data Science student at NYU	"['Applied Probability', 'Applied Statistics', 'Data Mining', 'Fundamental Algorithms', 'Mathematics of Finance', 'Numerical Methods with Financial Applications', 'Processing Big Data with Hadoop in Azure HDInsight', 'Statistical Computing', 'Stochastic Process']"
Director of data science at Intuit	"['Artificial Intelligence', 'Automatically Reasonaing Theory and Application', 'Connectionist Language Processing', 'Data and Knowledge Base System', 'Database', 'Distributed Database System', 'Intelligent Information System', 'Web Applications', 'Web Information System']"
Data Science + 1	"['Big Data for Health Informatics', 'Database Systems']"
Looking for full time position in the field of Data Science and Data Analytics to drive strategic decision making.	"['Advanced Data Structures and Algorithms', 'Advanced Statistical Methods', 'Advanced Topics: Data Science Project', 'Advanced Topics: Project Management', 'Applied Multivariate Analysis', 'Big Data Strategy', 'Business Intelligence', 'C & Data structures', 'Computer Aided Design / Computer Aided Manufacturing (CAD/CAM)', 'Computer Organization and Architecture']"
Data Science & Engineering | Graduate Student at Carnegie Mellon University	"['Cloud Computing', 'Data Mining', 'Data Structures for Application Programmers', 'Decision Making Under Uncertainity', 'Distributed Systems', 'Engineering Data Intensive Salable Systems', 'Exploring and Visualizing Data', 'Java', 'R for Analytics']"
Software Developer at T-Mobile	"['Applied graph Theory', 'Artificial intelligence', 'Big data', 'Computer Security', 'Data Science', 'Human Computer Interaction', 'Machine Learning', 'Network Science', 'Theory of Computer Science']"
Data Science Intern at Aspen Technology | Data Science | Data Engineering | Software Engineering | Software Testing	"['Business Intelligence', 'Database Applications Development', 'Database Management Systems and GUI Development', 'Database Technologies', 'Information Technology Policy and Strategy', 'Object Oriented Programming-I/II', 'Organization Behaviour and Interpersonal Communications', 'Simulation Modelling', 'Software Engineering', 'Statistical Methods for Data Science']"
Data Science Graduate Student	"['- Big Data Management', '- Introduction to Data Science', '- Statistical modals for Data Science', '- Statistics for Scientists and Engineers', 'Core Java', 'Database design and Management', 'Design and Analysis of Algorithms', 'Digital : Amazon Web Service(AWS) Cloud Computing', 'Digital : Apple Cocoa and Objective C', 'Digital : Internet of Things']"
Data Science Engineer in Flowcast	"['Algorithms', 'Algorithms and Data Structure', 'Artificial Intelligence', 'Computational Linear Algebra', 'Computer Network', 'Computer System', 'Computer System Architecture', 'Database System', 'Financial Math', 'Logical Programming']"
M.S. Data Science student at NYU	"['Applied Probability', 'Applied Statistics', 'Data Mining', 'Fundamental Algorithms', 'Mathematics of Finance', 'Numerical Methods with Financial Applications', 'Processing Big Data with Hadoop in Azure HDInsight', 'Statistical Computing', 'Stochastic Process']"
Director of data science at Intuit	"['Artificial Intelligence', 'Automatically Reasonaing Theory and Application', 'Connectionist Language Processing', 'Data and Knowledge Base System', 'Database', 'Distributed Database System', 'Intelligent Information System', 'Web Applications', 'Web Information System']"
Data Science + 1	"['Big Data for Health Informatics', 'Database Systems']"
Looking for full time position in the field of Data Science and Data Analytics to drive strategic decision making.	"['Advanced Data Structures and Algorithms', 'Advanced Statistical Methods', 'Advanced Topics: Data Science Project', 'Advanced Topics: Project Management', 'Applied Multivariate Analysis', 'Big Data Strategy', 'Business Intelligence', 'C & Data structures', 'Computer Aided Design / Computer Aided Manufacturing (CAD/CAM)', 'Computer Organization and Architecture']"
Data Science & Engineering | Graduate Student at Carnegie Mellon University	"['Cloud Computing', 'Data Mining', 'Data Structures for Application Programmers', 'Decision Making Under Uncertainity', 'Distributed Systems', 'Engineering Data Intensive Salable Systems', 'Exploring and Visualizing Data', 'Java', 'R for Analytics']"
Software Developer at T-Mobile	"['Applied graph Theory', 'Artificial intelligence', 'Big data', 'Computer Security', 'Data Science', 'Human Computer Interaction', 'Machine Learning', 'Network Science', 'Theory of Computer Science']"
CTO/Chief Data Scientist	"['Applied Statistics with SAS', 'Artificial Intelligence', 'Causal Inference and Missing Data', 'Critical Reading and Writing', 'Data Mining and Analysis', 'Introduction to Bayesian Inference: Hierarchical Models and Spatial Analysis', 'Machine Learning', 'Modern Applied Statistics: Learning', 'Paradigms for Computing with Data', 'Research Methods in Biostatistics']"
Data Science Intern at Aspen Technology | Data Science | Data Engineering | Software Engineering | Software Testing	"['Business Intelligence', 'Database Applications Development', 'Database Management Systems and GUI Development', 'Database Technologies', 'Information Technology Policy and Strategy', 'Object Oriented Programming-I/II', 'Organization Behaviour and Interpersonal Communications', 'Simulation Modelling', 'Software Engineering', 'Statistical Methods for Data Science']"
Data Science Graduate Student	"['- Big Data Management', '- Introduction to Data Science', '- Statistical modals for Data Science', '- Statistics for Scientists and Engineers', 'Core Java', 'Database design and Management', 'Design and Analysis of Algorithms', 'Digital : Amazon Web Service(AWS) Cloud Computing', 'Digital : Apple Cocoa and Objective C', 'Digital : Internet of Things']"
Data Science Engineer in Flowcast	"['Algorithms', 'Algorithms and Data Structure', 'Artificial Intelligence', 'Computational Linear Algebra', 'Computer Network', 'Computer System', 'Computer System Architecture', 'Database System', 'Financial Math', 'Logical Programming']"
M.S. Data Science student at NYU	"['Applied Probability', 'Applied Statistics', 'Data Mining', 'Fundamental Algorithms', 'Mathematics of Finance', 'Numerical Methods with Financial Applications', 'Processing Big Data with Hadoop in Azure HDInsight', 'Statistical Computing', 'Stochastic Process']"
Director of data science at Intuit	"['Artificial Intelligence', 'Automatically Reasonaing Theory and Application', 'Connectionist Language Processing', 'Data and Knowledge Base System', 'Database', 'Distributed Database System', 'Intelligent Information System', 'Web Applications', 'Web Information System']"
Data Science + 1	"['Big Data for Health Informatics', 'Database Systems']"
Looking for full time position in the field of Data Science and Data Analytics to drive strategic decision making.	"['Advanced Data Structures and Algorithms', 'Advanced Statistical Methods', 'Advanced Topics: Data Science Project', 'Advanced Topics: Project Management', 'Applied Multivariate Analysis', 'Big Data Strategy', 'Business Intelligence', 'C & Data structures', 'Computer Aided Design / Computer Aided Manufacturing (CAD/CAM)', 'Computer Organization and Architecture']"
Data Science & Engineering | Graduate Student at Carnegie Mellon University	"['Cloud Computing', 'Data Mining', 'Data Structures for Application Programmers', 'Decision Making Under Uncertainity', 'Distributed Systems', 'Engineering Data Intensive Salable Systems', 'Exploring and Visualizing Data', 'Java', 'R for Analytics']"
Software Developer at T-Mobile	"['Applied graph Theory', 'Artificial intelligence', 'Big data', 'Computer Security', 'Data Science', 'Human Computer Interaction', 'Machine Learning', 'Network Science', 'Theory of Computer Science']"
CTO/Chief Data Scientist	"['Applied Statistics with SAS', 'Artificial Intelligence', 'Causal Inference and Missing Data', 'Critical Reading and Writing', 'Data Mining and Analysis', 'Introduction to Bayesian Inference: Hierarchical Models and Spatial Analysis', 'Machine Learning', 'Modern Applied Statistics: Learning', 'Paradigms for Computing with Data', 'Research Methods in Biostatistics']"
Graduate student in Data Science Institute	"['Big Data (Hadoop)', 'COMM Business Analytics', 'COMM Commercial Law', 'COMM Intermediate Accounting I', 'COMM Intermediate Corporate Finance', 'COMM Intermediate Investments', 'COMM Project Management', 'COMM Quantitative Finance']"
Data Science Intern at Aspen Technology | Data Science | Data Engineering | Software Engineering | Software Testing	"['Business Intelligence', 'Database Applications Development', 'Database Management Systems and GUI Development', 'Database Technologies', 'Information Technology Policy and Strategy', 'Object Oriented Programming-I/II', 'Organization Behaviour and Interpersonal Communications', 'Simulation Modelling', 'Software Engineering', 'Statistical Methods for Data Science']"
Data Science Graduate Student	"['- Big Data Management', '- Introduction to Data Science', '- Statistical modals for Data Science', '- Statistics for Scientists and Engineers', 'Core Java', 'Database design and Management', 'Design and Analysis of Algorithms', 'Digital : Amazon Web Service(AWS) Cloud Computing', 'Digital : Apple Cocoa and Objective C', 'Digital : Internet of Things']"
Data Science Engineer in Flowcast	"['Algorithms', 'Algorithms and Data Structure', 'Artificial Intelligence', 'Computational Linear Algebra', 'Computer Network', 'Computer System', 'Computer System Architecture', 'Database System', 'Financial Math', 'Logical Programming']"
M.S. Data Science student at NYU	"['Applied Probability', 'Applied Statistics', 'Data Mining', 'Fundamental Algorithms', 'Mathematics of Finance', 'Numerical Methods with Financial Applications', 'Processing Big Data with Hadoop in Azure HDInsight', 'Statistical Computing', 'Stochastic Process']"
Director of data science at Intuit	"['Artificial Intelligence', 'Automatically Reasonaing Theory and Application', 'Connectionist Language Processing', 'Data and Knowledge Base System', 'Database', 'Distributed Database System', 'Intelligent Information System', 'Web Applications', 'Web Information System']"
Data Science + 1	"['Big Data for Health Informatics', 'Database Systems']"
Looking for full time position in the field of Data Science and Data Analytics to drive strategic decision making.	"['Advanced Data Structures and Algorithms', 'Advanced Statistical Methods', 'Advanced Topics: Data Science Project', 'Advanced Topics: Project Management', 'Applied Multivariate Analysis', 'Big Data Strategy', 'Business Intelligence', 'C & Data structures', 'Computer Aided Design / Computer Aided Manufacturing (CAD/CAM)', 'Computer Organization and Architecture']"
Data Science & Engineering | Graduate Student at Carnegie Mellon University	"['Cloud Computing', 'Data Mining', 'Data Structures for Application Programmers', 'Decision Making Under Uncertainity', 'Distributed Systems', 'Engineering Data Intensive Salable Systems', 'Exploring and Visualizing Data', 'Java', 'R for Analytics']"
Software Developer at T-Mobile	"['Applied graph Theory', 'Artificial intelligence', 'Big data', 'Computer Security', 'Data Science', 'Human Computer Interaction', 'Machine Learning', 'Network Science', 'Theory of Computer Science']"
CTO/Chief Data Scientist	"['Applied Statistics with SAS', 'Artificial Intelligence', 'Causal Inference and Missing Data', 'Critical Reading and Writing', 'Data Mining and Analysis', 'Introduction to Bayesian Inference: Hierarchical Models and Spatial Analysis', 'Machine Learning', 'Modern Applied Statistics: Learning', 'Paradigms for Computing with Data', 'Research Methods in Biostatistics']"
Graduate student in Data Science Institute	"['Big Data (Hadoop)', 'COMM Business Analytics', 'COMM Commercial Law', 'COMM Intermediate Accounting I', 'COMM Intermediate Corporate Finance', 'COMM Intermediate Investments', 'COMM Project Management', 'COMM Quantitative Finance']"
Data Science | Machine Learning | Analytics | Forecasting | Visualization	"['Advanced Quality Control', 'Business Data Mining', 'Design of Experiment', 'Industrial Design of Experiment', 'Lean Manufacturing', 'Location Optimization', 'Material Handling and Warehouse Management', 'Multiple Regression Analysis', 'Production and Inventory Control', 'Simulation Method and Application']"
Data Science Intern at Aspen Technology | Data Science | Data Engineering | Software Engineering | Software Testing	"['Business Intelligence', 'Database Applications Development', 'Database Management Systems and GUI Development', 'Database Technologies', 'Information Technology Policy and Strategy', 'Object Oriented Programming-I/II', 'Organization Behaviour and Interpersonal Communications', 'Simulation Modelling', 'Software Engineering', 'Statistical Methods for Data Science']"
Data Science Graduate Student	"['- Big Data Management', '- Introduction to Data Science', '- Statistical modals for Data Science', '- Statistics for Scientists and Engineers', 'Core Java', 'Database design and Management', 'Design and Analysis of Algorithms', 'Digital : Amazon Web Service(AWS) Cloud Computing', 'Digital : Apple Cocoa and Objective C', 'Digital : Internet of Things']"
Data Science Engineer in Flowcast	"['Algorithms', 'Algorithms and Data Structure', 'Artificial Intelligence', 'Computational Linear Algebra', 'Computer Network', 'Computer System', 'Computer System Architecture', 'Database System', 'Financial Math', 'Logical Programming']"
M.S. Data Science student at NYU	"['Applied Probability', 'Applied Statistics', 'Data Mining', 'Fundamental Algorithms', 'Mathematics of Finance', 'Numerical Methods with Financial Applications', 'Processing Big Data with Hadoop in Azure HDInsight', 'Statistical Computing', 'Stochastic Process']"
